nombre,precio,dormitorios,baños,metros,direccion,ciudad
Departamento Amoblado Ed. Turi 3d/2b/1e,$790.000,3 dormitorios,2 baños,74 m² útiles,"Edificio Turi, Sur De Calama, Calama, Antofagasta",calama
"Departamento En Arriendo 1d/1b/1e, Ed. Espacio Parque",$550.000,1 dormitorio,1 baño,39 m² totales,"Edificio Espacio Parque, Centro De Calama, Calama, Antofagasta",calama
Arriendo Departamento Amoblado,$700.000,2 dormitorios,2 baños,54 m² útiles,"Centro De Calama, Calama, Antofagasta",calama
Edificio Av. Circunvalación (1 Est. 1 Bod.) Vista Oriente,$670.000,3 dormitorios,2 baños,77 m² útiles,"Av. Circunvalación 1458, Calama, Antofagasta",calama
Departamento De Dos Habitaciones (99253),$800.000,2 dormitorios,2 baños,140 m² útiles,"DEPARTAMENTO EN ARRIENDO, Avenida Almirante Grau, Calama, Antofagasta",calama
Arriendo De Departamento (83216),$780.000,2 dormitorios,2 baños,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
Departamento Amoblado Para Empresas (98358),$700.000,2 dormitorios,2 baños,52 m² útiles,"Bartolomé Vivar 1 - 300, Centro De Calama, Calama, Antofagasta",calama
Elegante Departamento 2 Habitaciones   (69095),$800.000,2 dormitorios,2 baños,70 m² útiles,"Edificio Eduardo Abaroa - Avenida Balmaceda, Calama, II Región, Chile, Estadio Zorros Del Desierto, Calama, Antofagasta",calama
2 Habitaciones Sin Amoblar  (64553),$650.000,2 dormitorios,2 baños,60 m² útiles,"DEPARTAMENTO 1 - 300DORMITORIOS Y DOS BAÑOS, Estadio Zorros Del Desierto, Calama, Antofagasta",calama
Departamento Estilo Mariposa (69897),$780.000,2 dormitorios,2 baños,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
Arriendo De Departamento (68387),$650.000,,,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
1 Dormitorio  (75711),$600.000,1 dormitorio,1 baño,60 m² útiles,"Departamento Imagina - Avenida Balmaceda, Calama, Chile, Sur De Calama, Calama, Antofagasta",calama
Arriendo Departamento (101109),$750.000,2 dormitorios,2 baños,50 m² útiles,"Avenida Balmaceda 1 - 300, Calama, Antofagasta",calama
Arriendo De Departamento  (87119),$860.000,2 dormitorios,2 baños,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
Arriendo Depto. Cond. Valle Altiplánico Calam (100536),$780.000,2 dormitorios,2 baños,70 m² útiles,"Avenida Circunvalación Presidente Salvador Allende 1 - 300, Avenida Almirante Grau, Calama, Antofagasta",calama
Arriendo De Departamento  (87741),$650.000,2 dormitorios,1 baño,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
Departamento Amoblado En Arriendo (103079),$870.000,,,,"Calama, Chile, Calama, Antofagasta",calama
Arriendo De Departamento (83229),$800.000,2 dormitorios,3 baños,,"Calama, Chile, Calama, Antofagasta",calama
Departamento En Arriendo 2 Habitaciones (101909),$900.000,2 dormitorios,2 baños,60 m² útiles,"Bartolomé Vivar 1 - 300, Centro De Calama, Calama, Antofagasta",calama
Departamento Central  (69863),$450.000,1 dormitorio,1 baño,1 m² útiles,"Emilio Sotomayor, Calama, Chile, Calama Poniente, Calama, Antofagasta",calama
Arriendo Habitación Amoblada Cerca Del Mall (103061),$300.000,1 dormitorio,1 baño,20 m² útiles,"Tiltil 1200 - 1500, Avenida Almirante Grau, Calama, Antofagasta",calama
Arriendo De Departamento (68385),$650.000,,,,"Calama, Chile, Centro De Calama, Calama, Antofagasta",calama
Habitacalama Busca,$999.999,,,,"Vicuña Mackenna 3281, Calama Poniente, Calama, Antofagasta",calama
"Edificio Andes, Arrienda Dpto Amoblado. 3d. 2b.",$780.000,3 dormitorios,2 baños,60 m² útiles,"CALAMA, Centro De Calama, Calama, Antofagasta",calama
Se Arrienda Hermoso Y Amplio Departamento Sin Amoblar,$750.000,3 dormitorios,2 baños,95 m² útiles,"SE ARRIENDA HERMOSO Y AMPLIO DEPARTAMENTO SIN AMOBLAR, Estadio Zorros Del Desierto, Calama, Antofagasta",calama
Departamento Amoblado En Arriendo Con Gasto Común Incluido,$620.000,1 dormitorio,1 baño,67 m² útiles,"DEPARTAMENTO AMOBLADO EN ARRIENDO CON GASTO COMÚN INCLUIDO, Sur De Calama, Calama, Antofagasta",calama
Edificio Torre Central,$830.000,2 dormitorios,2 baños,78 m² útiles,"EDIFICIO TORRE CENTRAL, Centro De Calama, Calama, Antofagasta",calama
Se Arrienda Depto 2h2b Sin Muebles Edificio Santiago Calama,$650.000,2 dormitorios,2 baños,67 m² útiles,"Santiago 2249, Calama, Sur De Calama, Calama, Antofagasta",calama
Se Arrienda Departamento 2h2b Borde Rio I Calama,$890.000,2 dormitorios,2 baños,70 m² útiles,"Avenida Bernardo O'Higgins 214, Calama, Sur De Calama, Calama, Antofagasta",calama
"Edificio Andes, Arrienda Dpto Amoblado. 3d. 2b.",$780.000,3 dormitorios,2 baños,60 m² útiles,"Calama, Antofagasta",calama
Hermoso Y Gran Departamento En Calama,$1.800.000,3 dormitorios,2 baños,130 m² útiles,"Av. Cv Pdte. Salvador Allende 1458, El Loa, Calama, Avenida Almirante Grau, Calama, Antofagasta",calama
Departamento En Arriendo De 1 Dorm. En Calama,$400.000,1 dormitorio,1 baño,40 m² útiles,"Estadio Municipal/Club De Campo Cobreloa, Sur De Calama, Calama, Antofagasta",calama
Arriendo Departamento Amoblado Borde Rio 2d2b,$850.000,2 dormitorios,2 baños,63 m² útiles,"Sur De Calama, Calama, Antofagasta",calama
Arriendo Departamento Amoblado En Condominio Borde Rio,$1.200.000,3 dormitorios,2 baños,110 m² útiles,"Calama Poniente, Calama, Antofagasta",calama
"Departamento Full Equipado, Ejecutivo.",$750.000,2 dormitorios,2 baños,52 m² útiles,"Bartolomé Vivar 1580, Calama, Centro De Calama, Calama, Antofagasta",calama
Departamento 2d2b1e Sector Consolidado,$680.000,2 dormitorios,2 baños,68 m² útiles,"Bartolomé Vivar 1455, Calama, Sur De Calama, Calama, Antofagasta",calama
Dormitorios,$250.000,1 dormitorio,1 baño,1 m² útiles,"Latorre  1455, Sur De Calama, Calama, Antofagasta",calama
Departamento Tipo Estudio Calama,$550.000,1 dormitorio,1 baño,25 m² útiles,"Balmaceda 1466, Sur De Calama, Calama, Antofagasta",calama
"Depto 2 Dormitorios Ambos Con Baño Privado ,amoblado",$720.000,2 dormitorios,2 baños,50 m² útiles,"Balmaceda 1504 605, Centro De Calama, Calama, Antofagasta",calama
Se Arrienda Dpto Borde Rio 2 Dormitorios 2 Baños Amoblado,$870.000,2 dormitorios,2 baños,90 m² útiles,"Bernardo O'higgins 214, Calama Poniente, Calama, Antofagasta",calama
Departamento En Calama Para Empresas (104039),$900.000,2 dormitorios,2 baños,76 m² útiles,"Serena 1 - 300, Sur De Calama, Calama, Antofagasta",calama
